prop,subj,obj,diff,tot
http://dbpedia.org/property/house,"http://dbpedia.org/resource/William_II,_Prince_of_Orange",http://dbpedia.org/resource/House_of_Orange-Nassau,554,1924
http://dbpedia.org/property/highSchool,http://dbpedia.org/resource/Scott_Skiles,obj,221,1920
http://dbpedia.org/property/mother,"http://dbpedia.org/resource/William_II,_Prince_of_Orange",obj,diff,tot
http://dbpedia.org/property/managerclubs,http://dbpedia.org/resource/Gholam_Hossein_Mazloumi,obj,diff,tot
http://dbpedia.org/property/title,http://dbpedia.org/resource/Mahendra_Singh_Dhoni,obj,611,1862
http://dbpedia.org/property/position,"http://dbpedia.org/resource/Rafinha_(footballer,_born_1993)",obj,diff,tot
http://dbpedia.org/property/otherparty,http://dbpedia.org/resource/Seán_MacEntee,obj,diff,tot
http://dbpedia.org/property/college,http://dbpedia.org/resource/Scott_Skiles,obj,diff,tot
http://dbpedia.org/property/סיעות,http://dbpedia.org/resource/Yossi_Beilin,obj,diff,tot
http://dbpedia.org/property/sport,http://dbpedia.org/resource/Ambrose_O'Donovan,obj,49,1688
http://dbpedia.org/property/proteam,http://dbpedia.org/resource/Feng_Chun-kai,http://dbpedia.org/resource/Action_Cycling_Team,421,1923
http://dbpedia.org/property/doctoralStudents,http://dbpedia.org/resource/Colin_Cherry,obj,diff,tot
http://dbpedia.org/property/workInstitution,http://dbpedia.org/resource/Mary_Letitia_Caldwell,http://dbpedia.org/resource/Columbia_University,629,1962
http://dbpedia.org/property/preceded,http://dbpedia.org/resource/F._Bradford_Morse,http://dbpedia.org/resource/Edith_Nourse_Rogers,284,1774
http://dbpedia.org/property/parents,http://dbpedia.org/resource/John_Egerton_(bishop),obj,97,1439
http://dbpedia.org/property/battles,http://dbpedia.org/resource/Ivan_Bagramyan,obj,diff,tot
http://dbpedia.org/property/מועדונינוער,http://dbpedia.org/resource/Paul_Verhaegh,obj,diff,tot
http://dbpedia.org/property/office,http://dbpedia.org/resource/Lawton_Chiles,obj,diff,tot
http://dbpedia.org/property/with,http://dbpedia.org/resource/Sarvepalli_Radhakrishnan,obj,188,1536
http://dbpedia.org/property/influences,http://dbpedia.org/resource/Cardis_Cardell_Willis,obj,diff,tot
